Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.917743,0.0890761,-0.0153533,-0.000127981,7.31909e-06,-1.11904,2.92522,-2.6555,0.826576,0.286471,0.00476837,-0.000409363,-9.58239e-07,0.267382,-0.704359,0.642362,-0.20056,0.3,2.15404e-17,3.32675e-17,-3.0924e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,0.0520945,-0.0158343,-7.4798e-05,7.59391e-06,-0.986923,2.49979,-2.19868,0.663054,0.295442,0.00279445,-0.000425212,-1.90814e-06,0.10642,-0.274147,0.24355,-0.0739353,0.3,-1.86536e-17,3.10365e-17,4.89832e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,0.0142746,-0.0160603,-2.05104e-05,7.68291e-06,-0.992459,2.51439,-2.21183,0.667082,0.29966,0.000763995,-0.000429993,-1.20186e-07,-0.0193381,0.0444354,-0.0366832,0.01058,0.3,2.3371e-18,5.02309e-18,-1.00145e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.023775,-0.016028,3.415e-05,7.6757e-06,-0.982025,2.48854,-2.18939,0.660375,0.299056,-0.00127377,-0.000429676,5.04068e-07,-0.144835,0.362415,-0.316416,0.0949498,0.3,-3.7152e-17,-4.06192e-17,1.02426e-17,-1.77636e-15,7.10543e-15,-3.55271e-15,1.77636e-15,0,0,0,0,0,0,0,0
0.947348,-0.061442,-0.0157377,8.82425e-05,7.53318e-06,-0.95579,2.42264,-2.13172,0.643042,0.293641,-0.00329319,-0.000421661,1.6221e-06,-0.267981,0.674515,-0.591018,0.177781,0.3,7.46539e-17,-6.91366e-18,-2.99217e-17,-1.77636e-15,7.10543e-15,-3.55271e-15,1.77636e-15,0,0,0,0,0,0,0,0
0.947348,-0.0981204,-0.0151942,0.000140923,7.27453e-06,-0.914176,2.31776,-2.03975,0.615363,0.2835,-0.00525869,-0.000407199,2.49794e-06,-0.386823,0.975782,-0.856128,0.257757,0.3,-1.36275e-17,2.85129e-17,1.26832e-17,1.77636e-15,0,3.55271e-15,0,0,0,0,0,0,0,0,0
0.917743,-0.13322,-0.0144063,0.000191333,6.89664e-06,-0.994359,2.60304,-2.36507,0.736599,0.268798,-0.00713998,-0.00038604,3.42662e-06,-0.578761,1.50897,-1.36769,0.425275,0.3,-5.30673e-17,-3.59678e-17,3.79219e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.917743,-0.166176,-0.0133865,0.000238665,6.40872e-06,-0.913093,2.39107,-2.1729,0.676836,0.249771,-0.00890621,-0.000358731,4.26011e-06,-0.699983,1.82635,-1.65609,0.515102,0.3,4.60006e-17,-1.78593e-17,-1.95826e-17,-1.77636e-15,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.196458,-0.0121513,0.000282157,5.81728e-06,-0.704924,1.78907,-1.57545,0.475485,0.226725,-0.0105292,-0.000325624,5.0423e-06,-0.698878,1.76731,-1.5529,0.468,0.3,-2.88732e-17,-2.2117e-17,-1.39298e-18,-1.77636e-15,0,-3.55271e-15,1.77636e-15,0,0,0,0,0,0,0,0
0.917743,-0.223579,-0.0107207,0.000321109,5.13241e-06,-0.708028,1.85575,-1.68734,0.525776,0.200031,-0.0119828,-0.000287289,5.73594e-06,-0.906869,2.36833,-2.14873,0.668578,0.3,6.89027e-17,3.57536e-17,-2.32076e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.917743,-0.247103,-0.00911749,0.000354894,4.36489e-06,-0.587528,1.54101,-1.40175,0.436909,0.170118,-0.0132435,-0.000244326,6.34047e-06,-0.989204,2.5842,-2.34504,0.729758,0.3,-9.98604e-17,1.11181e-17,5.08844e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.266651,-0.00736761,0.000382969,3.52716e-06,-0.394682,1.00408,-0.885441,0.267487,0.137468,-0.0142912,-0.000197434,6.84161e-06,-0.91081,2.30564,-2.0272,0.611196,0.3,7.54502e-17,1.49891e-17,-1.63597e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.281908,-0.00549918,0.000404881,2.63267e-06,-0.276205,0.704121,-0.62169,0.187962,0.102606,-0.0151089,-0.000147365,7.23326e-06,-0.953446,2.4142,-2.12298,0.640141,0.3,-8.32896e-17,-1.09627e-18,4.11998e-17,0,0,-3.55271e-15,0,0,0,0,0,0,0,0,0
0.947348,-0.292629,-0.00354227,0.000420279,1.69582e-06,-0.153284,0.392836,-0.347936,0.105413,0.0660932,-0.0156835,-9.49242e-05,7.50827e-06,-0.980741,2.48392,-2.1846,0.658785,0.3,1.48832e-16,2.18847e-17,-4.93027e-17,-1.77636e-15,0,-3.55271e-15,0,0,0,0,0,0,0,0,0
0.947348,-0.298642,-0.00152836,0.000428914,7.31686e-07,-0.0278963,0.0752308,-0.0685826,0.0211678,0.0285168,-0.0160057,-4.09564e-05,7.66257e-06,-0.992255,2.51366,-2.21107,0.66683,0.3,-8.05311e-17,2.1243e-17,3.12738e-17,1.77636e-15,-7.10543e-15,3.55271e-15,-1.77636e-15,0,0,0,0,0,0,0,0
0.947348,-0.299849,0.000510139,0.000430649,-2.44223e-07,0.0979401,-0.243585,0.211874,-0.0634181,-0.00951838,-0.0160704,1.36705e-05,7.69354e-06,-0.987804,2.50296,-2.20196,0.664145,0.3,1.86919e-17,-4.2302e-17,1.65497e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.296232,0.00254043,0.000425453,-1.2162e-06,0.222201,-0.558482,0.488921,-0.146984,-0.0474004,-0.0158766,6.80774e-05,7.60073e-06,-0.967458,2.45199,-2.15743,0.650773,0.3,-3.94784e-18,-2.88622e-17,-4.91296e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.287848,0.00452985,0.000413412,-2.16861e-06,0.342886,-0.864392,0.758102,-0.228184,-0.0845198,-0.0154272,0.000121389,7.38562e-06,-0.931546,2.36156,-2.07818,0.62693,0.3,2.61553e-17,-1.64428e-18,-1.9682e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.274833,0.00644637,0.00039472,-3.08613e-06,0.458054,-1.15639,1.01508,-0.305713,-0.120279,-0.0147297,0.000172747,7.05167e-06,-0.880645,2.23314,-1.96549,0.593,0.3,5.38711e-18,3.31724e-17,-2.22446e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.257395,0.00825918,0.000369675,-3.95399e-06,0.565852,-1.42979,1.25573,-0.378323,-0.154103,-0.0137951,0.000221326,6.60426e-06,-0.815574,2.06878,-1.82117,0.549529,0.3,-2.31089e-17,-2.38353e-19,5.5421e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.235816,0.00993909,0.000338683,-4.75823e-06,0.664545,-1.68018,1.47618,-0.444845,-0.185448,-0.0126386,0.000266343,6.05058e-06,-0.73738,1.87114,-1.64755,0.497215,0.3,2.93409e-17,2.3586e-18,-2.73096e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.917743,-0.210442,0.0114591,0.000302241,-5.4859e-06,0.872153,-2.27735,2.06601,-0.642803,-0.213808,-0.0112787,0.000307075,5.39954e-06,-0.750376,1.96634,-1.78767,0.556992,0.3,-2.22086e-17,-9.39568e-18,4.57157e-18,-1.77636e-15,7.10543e-15,-7.10543e-15,1.77636e-15,0,0,0,0,0,0,0,0
0.947348,-0.181683,0.0127947,0.000260936,-6.12531e-06,0.828437,-2.09626,1.84264,-0.555462,-0.238729,-0.00973731,0.000342866,4.66163e-06,-0.546847,1.38919,-1.22401,0.369556,0.3,8.14637e-17,3.05975e-17,-2.62551e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.917743,-0.15,0.0139244,0.000215433,-6.66616e-06,1.03265,-2.6982,2.44876,-0.762088,-0.259808,-0.00803927,0.00037314,3.84871e-06,-0.507286,1.33136,-1.21149,0.377701,0.3,-7.61725e-17,1.45055e-17,4.50536e-17,1.77636e-15,-7.10543e-15,7.10543e-15,-1.77636e-15,0,0,0,0,0,0,0,0
0.917743,-0.115904,0.0148301,0.000166463,-7.09974e-06,1.08857,-2.84503,2.58242,-0.803771,-0.276706,-0.00621186,0.000397411,2.97386e-06,-0.37248,0.979084,-0.891757,0.278189,0.3,2.6539e-17,-3.91433e-17,-6.03022e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,-0.0799421,0.0154972,0.000114814,-7.41909e-06,0.972337,-2.46241,2.16557,-0.653023,-0.289153,-0.00428451,0.000415286,2.87162e-06,-0.199779,0.510586,-0.451493,0.136641,0.3,5.44567e-18,4.25896e-19,-1.04185e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.917743,-0.0426945,0.0159149,6.13186e-05,-7.61907e-06,1.14722,-2.99974,2.72361,-0.847876,-0.296946,-0.00228821,0.00042648,1.09546e-06,-0.0871493,0.233177,-0.214602,0.0674061,0.3,5.85924e-18,9.99923e-18,-2.27725e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.917743,-0.00475979,0.0160765,6.8361e-06,-7.69645e-06,1.14903,-3.00512,2.72887,-0.849587,-0.299962,-0.000255101,0.000430811,1.22127e-07,0.0591231,-0.149485,0.132969,-0.0408244,0.3,4.34247e-17,-1.67011e-18,-3.10659e-17,0,0,0,-1.77636e-15,0,0,0,0,0,0,0,0
0.947348,0.0332515,0.0159795,-4.77564e-05,-7.64999e-06,0.976935,-2.47579,2.17825,-0.65703,-0.298152,0.00178212,0.000485752,-8.53168e-07,0.175274,-0.439825,0.384641,-0.11555,0.3,-5.60566e-17,-1.25185e-17,1.5819e-17,0,7.10543e-15,0,1.77636e-15,0,0,0,0,0,0,0,0
0.917743,0.0707277,0.0156253,-0.00010158,-7.48044e-06,1.09743,-2.87152,2.60828,-0.812193,-0.291543,0.00379066,0.00041872,-1.81473e-06,0.345473,-0.898416,0.813036,-0.252546,0.3,8.60715e-17,-3.45513e-17,-3.96031e-17,-1.77636e-15,7.10543e-15,-7.10543e-15,1.77636e-15,0,0,0,0,0,0,0,0
